Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
9B165487-FBE5-0529-FD77-BB507C1D70EF,"_BK",1,,LOGDT024,83,1028,,,VARCHAR,VARCHAR,
D6F8E582-AB77-24E1-CF8A-CDEC5560AB4A,"_HK",2,,LOGDT025,32,64,,,CHAR,CHAR,
4C170538-976B-E0CE-48EA-EF8D8005AC84,"BigInt",3,,LOGDT027,25,,,,BIGINT,BIGINT,
2640D919-A8A6-04CC-C85B-E9EF84DBE9AC,"BLOB",4,,LOGDT041,82,max BYTE,,,VARBINARY,VARBINARY,
1DAD329C-AE27-C889-C53A-96D5178508BF,"Canvas_SK",5,,LOGDT027,25,,,,BIGINT,BIGINT,
7AA17267-D936-5364-B61D-FDF2ED7A2588,"CLOB",6,,LOGDT024,83,max CHAR,,,VARCHAR,VARCHAR,
68EC3850-B0A6-18EB-7EE3-90B40FA5E099,"Date",7,,LOGDT007,35,,,,DATE,Date,
3C32ABD4-E4BC-1C2E-750B-6F9517B8545F,"DateTime",8,,91229484-D19C-D458-8647-333C7FFE7B60,37,,7,,DATETIME2,DATETIME2,
16A702F1-55B7-6B0C-0F66-0D007CA05FD7,"HashDiff",9,,LOGDT025,32,64,,,CHAR,CHAR,
977E8A9E-9337-4B13-3E50-9B85E31D47D5,"LoadDate",10,,91229484-D19C-D458-8647-333C7FFE7B60,37,,7,,DATETIME2,DATETIME2,
CC1F2B91-49B2-88E7-80EB-37FFFC81D5C6,"Numeric",11,,LOGDT026,39,,18,4,DECIMAL,DECIMAL,
E2D1BF0A-6446-00EF-CD92-DFDB9A015D43,"Numeric Max",12,,LOGDT026,39,,38,8,DECIMAL,DECIMAL,
DA19586F-0005-A77F-2D46-D5C44A6F1C2A,"NVarChar",13,,LOGDT037,56,2000,,,NVARCHAR,NVARCHAR,
2CD7996E-6B9C-94B0-6444-987C81801935,"Oracle Timestamp Equivalent",14,,91229484-D19C-D458-8647-333C7FFE7B60,37,,6,,DATETIME2,DATETIME2,
0C28ADF5-97B4-DF70-A071-C61B97FA74E8,"RecordSource",15,,LOGDT024,83,128,,,VARCHAR,VARCHAR,
211902EF-E2FC-D060-5CA2-BBDEE81250B6,"SequenceNbr",16,,LOGDT027,25,,,,BIGINT,BIGINT,
D30D56F3-38DA-E13E-4CB8-D4AA4C3CB2EF,"Time",17,,LOGDT014,77,,7,,TIME,Time,
DOM3000004,"Unknown",18,,LOGDT017,22,,,,UNKNOWN,unknown,
A10B23DA-3ED1-5132-AD1E-E711CFF52AA9,"VarChar Long",19,,LOGDT024,83,2000,,,VARCHAR,VARCHAR,
81824E1A-937E-A638-AA3D-F8AC30A2C8A7,"VarChar Max",20,,LOGDT024,83,max,,,VARCHAR,VARCHAR,
7E5352B5-B4CB-A55F-2CA2-02555A57FC8B,"VarChar Short",21,,LOGDT024,83,128,,,VARCHAR,VARCHAR,
